dataset_type,timestamp,vessel_id,vessel_type,sister_group_id,latitude,longitude,sog_kn,stw_kn,draft_m,displacement_t,rpm,shaft_power_kw,shaft_torque_nm,fuel_mass_flow_kg_h,wind_speed_ms,wind_direction_deg,wave_height_m,wave_period_s,wave_direction_deg,current_speed_ms,current_direction_deg,water_depth_m,cargo_mass_t,cargo_demand_t,engine_load_pct,fuel_type
SYNTHETIC_TEST_DATA,2026-03-01T00:00:00+00:00,VESSEL_FE_01,container_feeder,CLASS_FEEDER_1000,18.928065522537796,72.84885288592152,14.559755760652118,15.365660495705317,7.957347803621321,15200.0,123.31637778453914,1922.1772119402196,148848.35750531056,386.4331049443706,2.6224120283654093,351.22404658923216,0.9800079468797522,7.9005414349677485,251.052490461371,0.5255680806334571,282.9831498997034,529.3374912613051,9880.0,9880.0,12.814514746268129,vlsfo
SYNTHETIC_TEST_DATA,2026-03-01T00:05:00+00:00,VESSEL_FE_01,container_feeder,CLASS_FEEDER_1000,18.934515975049376,72.86390394178187,15.483746458620063,16.35268944836164,8.061127066933702,15200.0,126.86968201410191,2336.7070654158497,175880.54487786224,458.5302627929054,5.102793497927503,297.94722191732956,1.7337546711260228,5.968849044540114,199.65052332570053,0.4900148178027494,272.9115864307346,187.92541796749535,9880.0,9880.0,15.57804710277233,vlsfo
SYNTHETIC_TEST_DATA,2026-03-01T00:10:00+00:00,VESSEL_FE_01,container_feeder,CLASS_FEEDER_1000,18.94115996695866,72.87940658957021,15.948320836694851,15.638771022664018,8.056448614636045,15200.0,124.29957568159047,2078.255367404519,159661.66235852108,407.9191552252695,12.854119002176153,348.3035036763156,1.682722032182039,7.4952791339151865,245.89762316728365,0.39755145418569254,133.3654941725528,212.45110527867192,9880.0,9880.0,13.855035782696792,vlsfo
SYNTHETIC_TEST_DATA,2026-03-01T00:15:00+00:00,VESSEL_FE_01,container_feeder,CLASS_FEEDER_1000,18.947297576605628,72.89372767874646,14.73279455434181,15.78071134538964,8.033945678153595,15200.0,124.8105608434027,2136.24127106119,163444.51413188572,424.5038186011401,8.0804033076668,139.4922164508628,1.8716270856017212,7.651785121966234,299.6135285022724,0.5437377193458026,245.6983814309912,545.2866510099444,9880.0,9880.0,14.241608473741268,vlsfo
SYNTHETIC_TEST_DATA,2026-03-01T00:20:00+00:00,VESSEL_FE_01,container_feeder,CLASS_FEEDER_1000,18.952723316261235,72.90638773794288,13.024012970735333,13.2514130161732,7.983255748500711,15200.0,115.70508685822352,1265.4487305204589,104439.18733070664,258.7685221115082,6.81214437193329,41.23082647295044,1.3401643918213493,6.435552814848645,204.74683054304174,0.32683377686135134,169.5946342115277,464.9974421665143,9880.0,9880.0,8.436324870136392,vlsfo
SYNTHETIC_TEST_DATA,2026-03-01T00:25:00+00:00,VESSEL_FE_01,container_feeder,CLASS_FEEDER_1000,18.959536329606617,72.92228476908211,16.35404199469391,15.95201668223991,8.007121286803528,15200.0,125.42726005606367,2328.371490755816,177268.56120865332,456.9777473260549,7.021739187795963,307.2251063765398,1.3256374638757813,6.445177848802519,77.25048221503052,0.2733425571993039,20.988987008063766,635.7626389208742,9880.0,9880.0,15.522476605038774,vlsfo
SYNTHETIC_TEST_DATA,2026-03-01T00:30:00+00:00,VESSEL_FE_01,container_feeder,CLASS_FEEDER_1000,18.96604887482567,72.93748070792657,15.632794566133958,15.750708472760804,8.000624705936385,15200.0,124.7025505019389,2260.0084625589916,173063.75056387592,448.54996396832377,6.592365383587321,32.41722987923103,1.3453267301398808,7.548130285068893,60.11025116677341,0.26083207088219207,166.27580289049945,379.0787694362633,9880.0,9880.0,15.066723083726611,vlsfo
SYNTHETIC_TEST_DATA,2026-03-01T00:35:00+00:00,VESSEL_FE_01,container_feeder,CLASS_FEEDER_1000,18.972199980037466,72.9518332867541,14.765189476053468,14.881817418588692,7.98109187229803,15200.0,121.57454270691929,1829.3451276054204,143689.28553472878,363.0773938675183,3.882218818942282,42.482124763385514,1.2883508439779232,6.9043381469123215,130.25253979922056,0.30055063447970365,327.0890486547385,584.8365437608367,9880.0,9880.0,12.195634184036136,vlsfo
SYNTHETIC_TEST_DATA,2026-03-01T00:40:00+00:00,VESSEL_FE_01,container_feeder,CLASS_FEEDER_1000,18.977590145121265,72.96441033861629,12.938619325985961,13.879658783988148,7.9276971072805775,15200.0,117.96677162235733,1465.5701027617583,118636.48878123114,292.20280693320024,9.60077034364349,72.85081132628291,1.397281221066185,5.8599735341073025,324.936862755783,0.5868847287091714,208.51904481908255,368.3907102290788,9880.0,9880.0,9.770467351745056,vlsfo
SYNTHETIC_TEST_DATA,2026-03-01T00:45:00+00:00,VESSEL_FE_01,container_feeder,CLASS_FEEDER_1000,18.98422552793025,72.97989289850392,15.927655445223959,15.02622257462813,8.073165144560978,15200.0,122.09440126866127,2219.903433043752,173623.9831889494,435.594764307434,7.948189087390791,14.981102590281292,2.3008894456604576,6.712773247032371,30.399955610360074,0.7718375150480874,118.75003643980271,743.0912899663658,9880.0,9880.0,14.799356220291681,vlsfo
