feature,min,p01,p05,median,p95,p99,max,mean,std,iqr,observations,git_commit
stw_kn,8.0,11.215787670405728,12.093690174530336,14.439861888417983,16.671354687421523,17.592637226403507,18.689510892372144,14.4115583608811,1.4144415942703037,1.951897262296045,833,febed1ae38a3b2be34235dc6436b5fc7d493808b
sog_kn,9.37947156773487,10.868976316205568,11.93354095865713,14.441139710561792,17.00980553896387,18.167246464292585,22.0,14.426322092172109,1.5797709696491922,2.065155079943162,833,febed1ae38a3b2be34235dc6436b5fc7d493808b
draft_m,7.853470281207361,7.897825166677619,7.94406385012237,8.101512328242798,11.5510494149514,11.588264821914812,11.614398718736735,9.20827407505256,1.6316863677496958,3.444561459486634,833,febed1ae38a3b2be34235dc6436b5fc7d493808b
displacement_t,15200.0,15200.0,15200.0,15300.0,58000.0,58000.0,58000.0,29620.168067226892,20206.355542220932,42800.0,833,febed1ae38a3b2be34235dc6436b5fc7d493808b
rpm,0.0,108.37683561346061,111.53728462830921,119.98350279830476,128.01687687471747,131.33349401505265,135.2822392125397,119.76141418684016,6.519768815505977,7.021051613265314,833,febed1ae38a3b2be34235dc6436b5fc7d493808b
shaft_power_kw,0.0,960.9179185508066,1151.6416509462365,1771.0218999365188,2650.823639578615,3025.8127660163136,3573.867036373335,1821.6952631444503,468.06497041434335,636.3873184976735,833,febed1ae38a3b2be34235dc6436b5fc7d493808b
shaft_torque_nm,60475.56062250338,84051.04193385271,97357.97725112962,141004.65471505013,198366.85327052788,223647.77932772515,252271.96479134352,144143.18932955706,31214.86408172443,43508.771110686546,833,febed1ae38a3b2be34235dc6436b5fc7d493808b
engine_load_pct,8.0,8.0,8.354050391136626,13.847202173365211,24.31582652459647,29.93222636461208,35.3331847377626,14.739886435758459,4.875829868916317,6.118524360195622,833,febed1ae38a3b2be34235dc6436b5fc7d493808b
wind_speed_ms,1.0,1.7781323596836087,3.4519673662679744,7.257352185314647,11.418267288642218,13.515689993639961,15.2917606033098,7.383129899664194,2.459972964930959,3.2048424571260536,833,febed1ae38a3b2be34235dc6436b5fc7d493808b
wind_direction_deg,0.1131910718713058,3.0607674482999467,20.711484607960223,183.2610363109256,345.22507543149106,356.78699265512756,359.89692303773427,181.79779841459873,102.03892555825944,173.61376773867323,833,febed1ae38a3b2be34235dc6436b5fc7d493808b
wave_height_m,-2.5,0.2442556583717148,0.6396025012291434,1.5147276837321422,2.3072843427515237,2.601156368516645,3.013325795847533,1.4985747552786057,0.5196115621622182,0.6718283824034645,833,febed1ae38a3b2be34235dc6436b5fc7d493808b
wave_period_s,3.0,4.363626825519921,5.027417745668061,7.016082229861646,9.098356345352322,10.095462244030276,10.751407531350983,7.048878590695105,1.2100422345298099,1.553333468701978,833,febed1ae38a3b2be34235dc6436b5fc7d493808b
wave_direction_deg,0.2484630233201512,6.950783232866606,22.9856260221034,185.01470726084676,341.18750864692373,358.03188473672344,359.88888394845293,181.2740553682193,101.96392198116835,175.42508765393973,833,febed1ae38a3b2be34235dc6436b5fc7d493808b
current_speed_ms,0.0,0.03886488394749155,0.1402982213171073,0.4994705737507793,0.8219278682661416,0.9579879509573935,9.5,0.4996904248309633,0.3719236493826669,0.27563216923456946,833,febed1ae38a3b2be34235dc6436b5fc7d493808b
current_direction_deg,0.2312293319545411,5.89383797945374,21.44789931186789,183.60582564723825,345.0436932447114,354.81895834051863,359.67770297072593,182.64633943525703,102.4933543713668,169.16214176981072,833,febed1ae38a3b2be34235dc6436b5fc7d493808b
water_depth_m,40.8112734172879,47.81652196803007,79.54016993801906,404.8608571478526,760.7601348977347,794.569398213432,799.4375252961454,411.66947252231347,217.78816081685704,370.7510218541968,827,febed1ae38a3b2be34235dc6436b5fc7d493808b
