lambda_robust,timestamp,vessel_id,stw_kn,shaft_power_kw,q05_lower,q50_nominal,q95_upper,uncertainty_width,robust_objective_J,penalized_objective,domain_status
0.0,2026-03-02T04:20:00+00:00,VESSEL_FE_01,14.659988191551,1975.589686489604,341.08939940067415,394.67451283025173,399.2284961098903,58.13909670921612,394.67451283025173,394.67451283025173,VALID
0.0,2026-03-02T04:20:00+00:00,VESSEL_FE_02,15.982304691111388,2275.905047379911,396.34553275887833,450.9132614177762,462.7436122737152,66.39807951483687,450.9132614177762,450.9132614177762,VALID
0.0,2026-03-02T04:25:00+00:00,VESSEL_HM_03,14.522532500438537,2000.003926972751,342.34989875526145,370.9796111968939,383.4188257611075,41.068927005846035,370.9796111968939,370.9796111968939,NEAR_BOUNDARY
0.0,2026-03-02T04:25:00+00:00,VESSEL_FE_01,13.48008447632299,1286.4622098624698,255.00824172062693,264.87909021831524,342.1623598893068,87.15411816867987,264.87909021831524,264.87909021831524,VALID
0.0,2026-03-02T04:25:00+00:00,VESSEL_FE_02,14.301954269459744,1566.5498360142678,309.0093002143363,317.3166719657867,342.1623598893068,33.15305967497051,317.3166719657867,317.3166719657867,NEAR_BOUNDARY
0.0,2026-03-02T04:30:00+00:00,VESSEL_FE_01,15.895701863559552,2160.254535869103,374.5731326405889,425.9339818066207,435.06980122526,60.49666858467111,425.9339818066207,425.9339818066207,VALID
0.0,2026-03-02T04:30:00+00:00,VESSEL_FE_02,12.439729298946345,1165.5698709594978,222.93226096368633,232.9576841571254,312.22262243524455,89.29036147155821,232.9576841571254,232.9576841571254,VALID
0.0,2026-03-02T04:30:00+00:00,VESSEL_HM_03,13.19494293929062,1616.6951050440184,298.8500203475898,303.1669298398004,318.3079504276233,19.45793008003352,303.1669298398004,303.1669298398004,VALID
0.0,2026-03-02T04:35:00+00:00,VESSEL_FE_01,15.873040432350958,2175.399985417706,375.13506831543157,431.0596922927794,437.3655783744404,62.23051005900885,431.0596922927794,431.0596922927794,VALID
0.0,2026-03-02T04:35:00+00:00,VESSEL_FE_02,15.48731875410275,2045.6544930624384,374.5731326405889,408.1382004697003,416.4847788640229,41.91164622343405,408.1382004697003,408.1382004697003,VALID
0.0,2026-03-02T04:35:00+00:00,VESSEL_HM_03,13.401339847056052,1579.1161828834763,293.2713499275418,302.1797880888791,342.48856759564853,49.21721766810674,302.1797880888791,302.1797880888791,NEAR_BOUNDARY
0.0,2026-03-02T04:40:00+00:00,VESSEL_HM_03,13.749690571769152,1761.703188573856,324.16258095073556,331.3032015085299,358.22310462637495,34.06052367563939,331.3032015085299,331.3032015085299,VALID
0.0,2026-03-02T04:40:00+00:00,VESSEL_FE_02,14.268377911912127,1626.7616202218192,321.692148215335,328.2953763214038,342.1623598893068,20.47021167397179,328.2953763214038,328.2953763214038,NEAR_BOUNDARY
0.0,2026-03-02T04:40:00+00:00,VESSEL_FE_01,13.322803342865786,1296.4145329948456,249.69838283787215,264.81686761217975,348.4095570609739,98.71117422310175,264.81686761217975,264.81686761217975,VALID
0.0,2026-03-02T04:45:00+00:00,VESSEL_FE_02,13.207530349166191,1340.6992056059692,260.37784019875136,267.09054507185766,330.1700268735979,69.79218667484656,267.09054507185766,267.09054507185766,VALID
0.0,2026-03-02T04:45:00+00:00,VESSEL_FE_01,14.70373697300726,1734.777795783025,333.19513848772635,343.9350335122618,364.9326342196644,31.737495731938054,343.9350335122618,343.9350335122618,NEAR_BOUNDARY
0.0,2026-03-02T04:45:00+00:00,VESSEL_HM_03,14.35320590296371,1858.92980475748,341.78796308041876,346.94144083725246,368.6104849366999,26.822521856281128,346.94144083725246,346.94144083725246,VALID
0.0,2026-03-02T04:50:00+00:00,VESSEL_HM_03,13.793460555585796,1885.7096844766395,323.8559915542169,349.4118717049946,376.0838490572163,52.22785750299937,349.4118717049946,349.4118717049946,VALID
0.0,2026-03-02T04:50:00+00:00,VESSEL_FE_01,16.183408857468855,2536.9032889111227,398.3161857112139,483.0738849662479,499.2348518246041,100.9186661133902,483.0738849662479,483.0738849662479,NEAR_BOUNDARY
0.0,2026-03-02T04:50:00+00:00,VESSEL_FE_02,15.366080306620162,2042.65624578507,367.05878128060397,405.38546377972074,411.8550448174666,44.796263536862625,405.38546377972074,405.38546377972074,VALID
0.25,2026-03-02T04:20:00+00:00,VESSEL_FE_01,14.659988191551,1975.589686489604,341.08939940067415,394.67451283025173,399.2284961098903,58.13909670921612,409.20928700755576,409.20928700755576,VALID
0.25,2026-03-02T04:20:00+00:00,VESSEL_FE_02,15.982304691111388,2275.905047379911,396.34553275887833,450.9132614177762,462.7436122737152,66.39807951483687,467.5127812964854,467.5127812964854,VALID
0.25,2026-03-02T04:25:00+00:00,VESSEL_HM_03,14.522532500438537,2000.003926972751,342.34989875526145,370.9796111968939,383.4188257611075,41.068927005846035,381.24684294835544,381.24684294835544,NEAR_BOUNDARY
0.25,2026-03-02T04:25:00+00:00,VESSEL_FE_01,13.48008447632299,1286.4622098624698,255.00824172062693,264.87909021831524,342.1623598893068,87.15411816867987,286.6676197604852,286.6676197604852,VALID
